MS46322A
!12/11/2019.11:53:56.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
172	3.565000000	-1.638537E+000	3.565000000	-1.150759E+002	3.565000000	-1.071625E+002	3.565000000	-2.256164E+000
173	3.580000000	-1.764637E+000	3.580000000	-1.149047E+002	3.580000000	-1.028289E+002	3.580000000	-2.211188E+000
174	3.595000000	-1.779049E+000	3.595000000	-9.930429E+001	3.595000000	-9.832348E+001	3.595000000	-2.163473E+000
175	3.610000000	-1.606648E+000	3.610000000	-1.053678E+002	3.610000000	-9.671780E+001	3.610000000	-2.108492E+000
176	3.625000000	-1.485758E+000	3.625000000	-1.084327E+002	3.625000000	-1.005864E+002	3.625000000	-2.043706E+000
177	3.640000000	-1.323498E+000	3.640000000	-9.404916E+001	3.640000000	-9.147724E+001	3.640000000	-1.969970E+000
178	3.655000000	-1.186331E+000	3.655000000	-9.043282E+001	3.655000000	-9.295265E+001	3.655000000	-1.888844E+000
179	3.670000000	-1.091865E+000	3.670000000	-9.483133E+001	3.670000000	-9.797157E+001	3.670000000	-1.806460E+000
180	3.685000000	-1.153712E+000	3.685000000	-9.538532E+001	3.685000000	-1.190704E+002	3.685000000	-1.727710E+000
181	3.700000000	-1.302226E+000	3.700000000	-9.446366E+001	3.700000000	-1.192748E+002	3.700000000	-1.656833E+000
182	3.715000000	-1.525968E+000	3.715000000	-9.507077E+001	3.715000000	-1.003558E+002	3.715000000	-1.602170E+000
183	3.730000000	-1.793028E+000	3.730000000	-9.638256E+001	3.730000000	-9.691734E+001	3.730000000	-1.571060E+000
184	3.745000000	-2.057343E+000	3.745000000	-9.055632E+001	3.745000000	-9.907614E+001	3.745000000	-1.574218E+000
185	3.760000000	-2.369334E+000	3.760000000	-8.942199E+001	3.760000000	-1.045813E+002	3.760000000	-1.616052E+000
186	3.775000000	-2.153291E+000	3.775000000	-9.001664E+001	3.775000000	-9.785755E+001	3.775000000	-1.701622E+000
187	3.790000000	-1.914762E+000	3.790000000	-9.688240E+001	3.790000000	-9.471104E+001	3.790000000	-1.829123E+000
188	3.805000000	-1.690120E+000	3.805000000	-9.542067E+001	3.805000000	-9.744720E+001	3.805000000	-2.004189E+000
